Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","D_Small","D_SOD-123",115.230000,-120.570000,90.000000,bottom
"D2","D_Small","D_SOD-123",117.830000,-120.570000,90.000000,bottom
"D3","D_Small","D_SOD-123",120.430000,-120.570000,90.000000,bottom
"D4","D_Small","D_SOD-123",123.030000,-120.570000,90.000000,bottom
"D5","D_Small","D_SOD-123",104.880000,-120.570000,90.000000,bottom
"D6","D_Small","D_SOD-123",107.480000,-120.570000,90.000000,bottom
"D7","D_Small","D_SOD-123",110.080000,-120.570000,90.000000,bottom
"D8","D_Small","D_SOD-123",112.680000,-120.570000,90.000000,bottom
"D9","D_Small","D_SOD-123",107.343641,-129.520000,270.000000,bottom
"D10","D_Small","D_SOD-123",104.898187,-129.520000,270.000000,bottom
"D11","D_Small","D_SOD-123",102.452733,-129.520000,270.000000,bottom
"D12","D_Small","D_SOD-123",100.007270,-129.520000,270.000000,bottom
"D13","D_Small","D_SOD-123",94.643637,-120.570000,90.000000,bottom
"D14","D_Small","D_SOD-123",92.198183,-120.570000,90.000000,bottom
"D15","D_Small","D_SOD-123",129.756500,-112.077400,180.000000,bottom
"D16","D_Small","D_SOD-123",129.756500,-114.567400,180.000000,bottom
"D17","D_Small","D_SOD-123",97.089091,-120.570000,90.000000,bottom
"D18","D_Small","D_SOD-123",87.307275,-120.570000,90.000000,bottom
"D19","D_Small","D_SOD-123",89.752729,-120.570000,90.000000,bottom
"D20","D_Small","D_SOD-123",129.756500,-92.127400,180.000000,bottom
"D21","D_Small","D_SOD-123",129.756500,-107.077400,180.000000,bottom
"D22","D_Small","D_SOD-123",99.534545,-120.570000,90.000000,bottom
"D23","D_Small","D_SOD-123",157.580000,-92.270000,0.000000,bottom
"D24","D_Small","D_SOD-123",157.580000,-116.870000,0.000000,bottom
"D25","D_Small","D_SOD-123",157.580000,-124.320000,0.000000,bottom
"D26","D_Small","D_SOD-123",157.580000,-119.370000,0.000000,bottom
"D27","D_Small","D_SOD-123",157.580000,-121.832500,0.000000,bottom
"D28","D_Small","D_SOD-123",190.253070,-119.420000,90.000000,bottom
"D29","D_Small","D_SOD-123",198.410760,-119.420000,90.000000,bottom
"D30","D_Small","D_SOD-123",201.230000,-119.420000,90.000000,bottom
"D31","D_Small","D_SOD-123",157.580000,-114.370000,0.000000,bottom
"D32","D_Small","D_SOD-123",157.580000,-111.870000,0.000000,bottom
"D33","D_Small","D_SOD-123",157.580000,-109.370000,0.000000,bottom
"D34","D_Small","D_SOD-123",157.580000,-106.820000,0.000000,bottom
"D35","D_Small","D_SOD-123",176.237690,-119.420000,90.000000,bottom
"D36","D_Small","D_SOD-123",173.418460,-119.420000,90.000000,bottom
"D37","D_Small","D_SOD-123",170.599230,-119.420000,90.000000,bottom
"D38","D_Small","D_SOD-123",167.780000,-119.420000,90.000000,bottom
"D39","D_Small","D_SOD-123",187.514610,-119.420000,90.000000,bottom
"D40","D_Small","D_SOD-123",184.695380,-119.420000,90.000000,bottom
"D41","D_Small","D_SOD-123",181.876150,-119.420000,90.000000,bottom
"D42","D_Small","D_SOD-123",179.056920,-119.420000,90.000000,bottom
"D43","D_Small","D_SOD-123",193.072300,-119.420000,90.000000,bottom
"D44","D_Small","D_SOD-123",195.891530,-119.420000,90.000000,bottom
"D45","D_Small","D_SOD-123",129.756500,-104.572952,180.000000,bottom
"D46","D_Small","D_SOD-123",129.756500,-102.074064,180.000000,bottom
"D47","D_Small","D_SOD-123",129.756500,-99.575176,180.000000,bottom
"D48","D_Small","D_SOD-123",129.756500,-97.076288,180.000000,bottom
"D49","D_Small","D_SOD-123",129.756500,-109.577400,180.000000,bottom
"D50","D_Small","D_SOD-123",129.756500,-94.627400,180.000000,bottom
"D51","D_Small","D_SOD-123",109.880000,-129.520000,270.000000,bottom
"D52","D_Small","D_SOD-123",157.580000,-89.820000,0.000000,bottom
"D53","D_Small","D_SOD-123",112.380000,-129.520000,270.000000,bottom
"D54","D_Small","D_SOD-123",157.580000,-104.370000,0.000000,bottom
"D55","D_Small","D_SOD-123",157.580000,-101.920000,0.000000,bottom
"D56","D_Small","D_SOD-123",157.580000,-99.520000,0.000000,bottom
"D57","D_Small","D_SOD-123",157.580000,-97.120000,0.000000,bottom
"D58","D_Small","D_SOD-123",157.580000,-94.720000,0.000000,bottom
"R1","5.1K","R_0805_2012Metric",161.780000,-138.020000,270.000000,bottom
"R2","5.1K","R_0805_2012Metric",163.780000,-138.007500,90.000000,bottom
